userID,days,place 1,place 2,place 3,place 4,place 5,place 6,place 7,place 8,place 9,place 10,gender,children,with,season,budget
1,2,Mohamaya Lake,Chandranath Hill and Temple,Bhatiari,Guliakhali Sea Beach,Abhay Mitra Ghat,Karnaphuli River,Bashbaria Sea Beach,Khoiyachora Waterfall,,,Male,No,Friends,Winter,3183.0
2,8,Foy's Lake,Guliakhali Sea Beach,Patenga Sea Beach,Napittachora Waterfalls,,,,,,,Male,Yes,Solo,Monsoon,10143.0
3,9,Khoiyachora Waterfall,Mohamaya Lake,Karnaphuli River,Guliakhali Sea Beach,Chandranath Hill and Temple,Bhatiari,Foy's Lake,Napittachora Waterfalls,Naval Beach,Chittagong Circuit House,Male,Yes,Family,Autumn,19455.0
4,1,Abhay Mitra Ghat,Patenga Sea Beach,Chandranath Hill and Temple,Bhatiari,Mohamaya Lake,Karnaphuli River,Guliakhali Sea Beach,,,,Male,Yes,Solo,Summer,7036.0
5,2,Chandranath Hill and Temple,Naval Beach,Karnaphuli River,Khoiyachora Waterfall,Chittagong Circuit House,Abhay Mitra Ghat,Napittachora Waterfalls,,,,Male,No,Solo,Summer,17310.0
6,7,Naval Beach,Chandranath Hill and Temple,Patenga Sea Beach,Guliakhali Sea Beach,Foy's Lake,Bhatiari,Napittachora Waterfalls,Karnaphuli River,Mohamaya Lake,Chittagong Circuit House,Female,Yes,Friends,Summer,16411.0
7,7,Guliakhali Sea Beach,Bashbaria Sea Beach,Karnaphuli River,,,,,,,,Female,No,Family,Summer,12580.5
8,10,Bhatiari,Karnaphuli River,Patenga Sea Beach,Abhay Mitra Ghat,Chandranath Hill and Temple,Bashbaria Sea Beach,Napittachora Waterfalls,Foy's Lake,Naval Beach,Chittagong Circuit House,Male,Yes,Friends,Monsoon,17403.0
9,2,Naval Beach,Foy's Lake,Mohamaya Lake,Bhatiari,Karnaphuli River,Khoiyachora Waterfall,Guliakhali Sea Beach,Patenga Sea Beach,,,Female,Yes,Couple,Monsoon,20000.0
10,7,Chittagong Circuit House,Napittachora Waterfalls,Mohamaya Lake,Chandranath Hill and Temple,Guliakhali Sea Beach,Abhay Mitra Ghat,,,,,Male,No,Friends,Autumn,17023.0
11,7,Karnaphuli River,Naval Beach,Chittagong Circuit House,Abhay Mitra Ghat,Patenga Sea Beach,Guliakhali Sea Beach,,,,,Female,No,Solo,Monsoon,9450.0
12,8,Mohamaya Lake,Khoiyachora Waterfall,Patenga Sea Beach,Bhatiari,Karnaphuli River,Chandranath Hill and Temple,Bashbaria Sea Beach,Chittagong Circuit House,Abhay Mitra Ghat,Naval Beach,Male,No,Friends,Summer,7851.0
13,5,Patenga Sea Beach,Naval Beach,Chandranath Hill and Temple,Bhatiari,Chittagong Circuit House,Guliakhali Sea Beach,Abhay Mitra Ghat,,,,Male,Yes,Solo,Autumn,13476.0
14,3,Guliakhali Sea Beach,Karnaphuli River,Khoiyachora Waterfall,Mohamaya Lake,Bashbaria Sea Beach,Patenga Sea Beach,Chittagong Circuit House,Chandranath Hill and Temple,,,Male,No,Friends,Summer,15221.0
15,2,Napittachora Waterfalls,Guliakhali Sea Beach,Mohamaya Lake,Karnaphuli River,Khoiyachora Waterfall,Bashbaria Sea Beach,Chittagong Circuit House,Abhay Mitra Ghat,,,Male,Yes,Family,Winter,16713.0
16,9,Khoiyachora Waterfall,Naval Beach,Karnaphuli River,Mohamaya Lake,,,,,,,Male,No,Friends,Monsoon,18052.0
17,3,Bhatiari,Chittagong Circuit House,Bashbaria Sea Beach,Khoiyachora Waterfall,Naval Beach,Patenga Sea Beach,Mohamaya Lake,Karnaphuli River,,,Male,No,Family,Winter,20000.0
18,9,Abhay Mitra Ghat,Napittachora Waterfalls,Bashbaria Sea Beach,Khoiyachora Waterfall,Bhatiari,Chandranath Hill and Temple,,,,,Male,No,Couple,Autumn,20000.0
19,9,Abhay Mitra Ghat,Khoiyachora Waterfall,,,,,,,,,Female,Yes,Couple,Autumn,8642.4
20,1,Foy's Lake,Napittachora Waterfalls,Patenga Sea Beach,Naval Beach,Bhatiari,,,,,,Female,Yes,Couple,Winter,20000.0
21,9,Napittachora Waterfalls,Karnaphuli River,Abhay Mitra Ghat,Bashbaria Sea Beach,Chittagong Circuit House,,,,,,Male,No,Couple,Autumn,10448.4
22,7,Bashbaria Sea Beach,Chittagong Circuit House,Napittachora Waterfalls,Foy's Lake,,,,,,,Male,No,Family,Monsoon,20000.0
23,1,Khoiyachora Waterfall,Naval Beach,Chandranath Hill and Temple,Patenga Sea Beach,Abhay Mitra Ghat,Chittagong Circuit House,Foy's Lake,Bashbaria Sea Beach,Guliakhali Sea Beach,Bhatiari,Female,No,Solo,Autumn,16358.0
24,5,Foy's Lake,Chittagong Circuit House,Abhay Mitra Ghat,Napittachora Waterfalls,Chandranath Hill and Temple,Bashbaria Sea Beach,Bhatiari,Patenga Sea Beach,Naval Beach,Mohamaya Lake,Male,Yes,Couple,Monsoon,10321.199999999999
25,4,Chittagong Circuit House,Khoiyachora Waterfall,Karnaphuli River,,,,,,,,Male,No,Family,Monsoon,20000.0
26,2,Abhay Mitra Ghat,Bashbaria Sea Beach,Chittagong Circuit House,Bhatiari,Karnaphuli River,Naval Beach,Mohamaya Lake,Napittachora Waterfalls,Foy's Lake,Chandranath Hill and Temple,Male,Yes,Solo,Summer,13944.0
27,5,Bhatiari,Mohamaya Lake,Bashbaria Sea Beach,Naval Beach,Patenga Sea Beach,Khoiyachora Waterfall,Chandranath Hill and Temple,Abhay Mitra Ghat,Napittachora Waterfalls,,Male,No,Couple,Summer,8086.799999999999
28,9,Mohamaya Lake,Abhay Mitra Ghat,Chandranath Hill and Temple,Napittachora Waterfalls,Foy's Lake,Patenga Sea Beach,Khoiyachora Waterfall,Chittagong Circuit House,Guliakhali Sea Beach,Bhatiari,Female,No,Family,Autumn,20000.0
29,7,Patenga Sea Beach,Bashbaria Sea Beach,Bhatiari,Napittachora Waterfalls,,,,,,,Male,No,Family,Winter,20000.0
30,10,Naval Beach,Bhatiari,Chandranath Hill and Temple,Chittagong Circuit House,Bashbaria Sea Beach,Foy's Lake,Khoiyachora Waterfall,Guliakhali Sea Beach,,,Female,No,Couple,Winter,19706.399999999998
31,10,Bashbaria Sea Beach,Karnaphuli River,Naval Beach,Guliakhali Sea Beach,,,,,,,Female,Yes,Couple,Winter,7062.0
32,1,Naval Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,Mohamaya Lake,Foy's Lake,Napittachora Waterfalls,Patenga Sea Beach,Bashbaria Sea Beach,,,Female,No,Solo,Autumn,12128.0
33,1,Chandranath Hill and Temple,Karnaphuli River,Chittagong Circuit House,,,,,,,,Female,No,Family,Monsoon,6208.5
34,4,Chandranath Hill and Temple,Chittagong Circuit House,Guliakhali Sea Beach,Bashbaria Sea Beach,Naval Beach,,,,,,Female,No,Friends,Summer,14749.0
35,9,Foy's Lake,Chandranath Hill and Temple,Bhatiari,Chittagong Circuit House,Karnaphuli River,Mohamaya Lake,Khoiyachora Waterfall,,,,Male,No,Solo,Autumn,9366.0
36,4,Naval Beach,Chandranath Hill and Temple,Abhay Mitra Ghat,Patenga Sea Beach,Khoiyachora Waterfall,,,,,,Male,No,Family,Summer,15613.5
37,2,Karnaphuli River,Bashbaria Sea Beach,,,,,,,,,Female,Yes,Solo,Winter,5020.0
38,3,Bashbaria Sea Beach,Chittagong Circuit House,Bhatiari,Naval Beach,Karnaphuli River,Patenga Sea Beach,,,,,Female,Yes,Couple,Summer,16984.8
39,10,Karnaphuli River,Chandranath Hill and Temple,Foy's Lake,Chittagong Circuit House,Guliakhali Sea Beach,Patenga Sea Beach,Naval Beach,Abhay Mitra Ghat,Bashbaria Sea Beach,Khoiyachora Waterfall,Female,No,Friends,Winter,10157.0
40,4,Bhatiari,Chittagong Circuit House,Naval Beach,Guliakhali Sea Beach,Abhay Mitra Ghat,Mohamaya Lake,Bashbaria Sea Beach,,,,Female,Yes,Friends,Winter,16083.0
41,3,Khoiyachora Waterfall,Naval Beach,Chittagong Circuit House,Bashbaria Sea Beach,Napittachora Waterfalls,,,,,,Male,No,Family,Summer,20000.0
42,3,Napittachora Waterfalls,Abhay Mitra Ghat,Bhatiari,Khoiyachora Waterfall,Karnaphuli River,Chandranath Hill and Temple,Foy's Lake,Patenga Sea Beach,Mohamaya Lake,,Female,No,Solo,Summer,12215.0
43,9,Bashbaria Sea Beach,Naval Beach,Bhatiari,Chandranath Hill and Temple,Napittachora Waterfalls,,,,,,Male,No,Couple,Autumn,7167.599999999999
44,10,Napittachora Waterfalls,Naval Beach,Bashbaria Sea Beach,,,,,,,,Female,No,Solo,Monsoon,15144.0
45,4,Naval Beach,Karnaphuli River,Guliakhali Sea Beach,,,,,,,,Female,No,Family,Monsoon,17424.0
46,5,Foy's Lake,Bhatiari,Chandranath Hill and Temple,Bashbaria Sea Beach,Khoiyachora Waterfall,Guliakhali Sea Beach,Abhay Mitra Ghat,Naval Beach,Napittachora Waterfalls,Karnaphuli River,Male,Yes,Family,Winter,20000.0
47,10,Khoiyachora Waterfall,Naval Beach,Karnaphuli River,,,,,,,,Male,No,Couple,Winter,17601.6
48,4,Karnaphuli River,Abhay Mitra Ghat,Patenga Sea Beach,Naval Beach,Chandranath Hill and Temple,Bashbaria Sea Beach,Napittachora Waterfalls,,,,Male,Yes,Couple,Monsoon,15436.8
49,6,Foy's Lake,,,,,,,,,,Female,Yes,Family,Summer,18466.5
50,5,Abhay Mitra Ghat,Bhatiari,Khoiyachora Waterfall,Guliakhali Sea Beach,Patenga Sea Beach,Naval Beach,,,,,Female,Yes,Couple,Winter,17096.399999999998
51,9,Abhay Mitra Ghat,Karnaphuli River,Chandranath Hill and Temple,Bashbaria Sea Beach,Guliakhali Sea Beach,Naval Beach,,,,,Male,No,Couple,Summer,20000.0
52,1,Chittagong Circuit House,Chandranath Hill and Temple,Mohamaya Lake,Naval Beach,Napittachora Waterfalls,Abhay Mitra Ghat,Guliakhali Sea Beach,Patenga Sea Beach,,,Male,No,Couple,Summer,6391.2
53,1,Khoiyachora Waterfall,Chittagong Circuit House,Napittachora Waterfalls,Bhatiari,Naval Beach,Bashbaria Sea Beach,Mohamaya Lake,Chandranath Hill and Temple,Abhay Mitra Ghat,,Male,Yes,Couple,Monsoon,6224.4
54,7,Bhatiari,Mohamaya Lake,Naval Beach,Chittagong Circuit House,Khoiyachora Waterfall,,,,,,Male,Yes,Solo,Autumn,10851.0
55,7,Naval Beach,Bashbaria Sea Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,,,,,,,Male,No,Couple,Winter,8388.0
56,8,Bashbaria Sea Beach,Mohamaya Lake,Naval Beach,Karnaphuli River,Bhatiari,Khoiyachora Waterfall,Patenga Sea Beach,,,,Female,Yes,Solo,Summer,3710.0
57,4,Khoiyachora Waterfall,Foy's Lake,Naval Beach,Chandranath Hill and Temple,Chittagong Circuit House,Abhay Mitra Ghat,Karnaphuli River,Patenga Sea Beach,Napittachora Waterfalls,Mohamaya Lake,Male,Yes,Solo,Monsoon,12740.0
58,8,Karnaphuli River,Chandranath Hill and Temple,Patenga Sea Beach,Napittachora Waterfalls,Naval Beach,Bhatiari,Abhay Mitra Ghat,,,,Female,Yes,Friends,Autumn,16846.0
59,8,Abhay Mitra Ghat,Foy's Lake,Karnaphuli River,Patenga Sea Beach,Chittagong Circuit House,Bashbaria Sea Beach,Guliakhali Sea Beach,Chandranath Hill and Temple,Napittachora Waterfalls,,Male,No,Family,Summer,5626.5
60,4,Mohamaya Lake,Foy's Lake,Patenga Sea Beach,Bashbaria Sea Beach,Chittagong Circuit House,Chandranath Hill and Temple,Abhay Mitra Ghat,Khoiyachora Waterfall,Bhatiari,,Male,Yes,Family,Monsoon,19177.5
61,8,Naval Beach,Karnaphuli River,Chandranath Hill and Temple,Guliakhali Sea Beach,,,,,,,Female,No,Family,Winter,14991.0
62,2,Foy's Lake,Napittachora Waterfalls,Mohamaya Lake,Chittagong Circuit House,Chandranath Hill and Temple,Naval Beach,Karnaphuli River,Abhay Mitra Ghat,Bhatiari,Khoiyachora Waterfall,Male,Yes,Family,Monsoon,11850.0
63,2,Khoiyachora Waterfall,Bhatiari,Napittachora Waterfalls,,,,,,,,Male,No,Family,Summer,20000.0
64,7,Foy's Lake,Bhatiari,Chittagong Circuit House,Khoiyachora Waterfall,Karnaphuli River,Naval Beach,Bashbaria Sea Beach,,,,Female,No,Solo,Summer,19033.0
65,7,Patenga Sea Beach,,,,,,,,,,Female,Yes,Couple,Summer,11476.8
66,4,Karnaphuli River,Napittachora Waterfalls,Abhay Mitra Ghat,Bhatiari,Chandranath Hill and Temple,,,,,,Male,No,Couple,Winter,14882.4
67,6,Napittachora Waterfalls,Mohamaya Lake,Karnaphuli River,Bhatiari,Chandranath Hill and Temple,Chittagong Circuit House,Naval Beach,,,,Female,No,Family,Winter,20000.0
68,5,Karnaphuli River,Khoiyachora Waterfall,Guliakhali Sea Beach,Napittachora Waterfalls,Mohamaya Lake,Patenga Sea Beach,Bashbaria Sea Beach,,,,Male,No,Couple,Autumn,9876.0
69,1,Chandranath Hill and Temple,Mohamaya Lake,Chittagong Circuit House,Bashbaria Sea Beach,Patenga Sea Beach,Bhatiari,Foy's Lake,Khoiyachora Waterfall,Karnaphuli River,Guliakhali Sea Beach,Male,Yes,Friends,Winter,6803.0
70,10,Bashbaria Sea Beach,Guliakhali Sea Beach,,,,,,,,,Female,No,Family,Winter,14014.5
71,6,Abhay Mitra Ghat,Chittagong Circuit House,Napittachora Waterfalls,Naval Beach,,,,,,,Female,No,Friends,Monsoon,6387.0
72,5,Foy's Lake,Abhay Mitra Ghat,Bhatiari,Bashbaria Sea Beach,Patenga Sea Beach,Guliakhali Sea Beach,Karnaphuli River,Mohamaya Lake,Naval Beach,,Female,No,Friends,Summer,7642.0
73,4,Chittagong Circuit House,Chandranath Hill and Temple,Guliakhali Sea Beach,Mohamaya Lake,Abhay Mitra Ghat,,,,,,Female,No,Friends,Monsoon,5384.0
74,5,Guliakhali Sea Beach,Bashbaria Sea Beach,Napittachora Waterfalls,Abhay Mitra Ghat,,,,,,,Female,No,Solo,Winter,10076.0
75,5,Chandranath Hill and Temple,Khoiyachora Waterfall,Mohamaya Lake,Bhatiari,Chittagong Circuit House,Patenga Sea Beach,Naval Beach,,,,Female,Yes,Couple,Monsoon,16690.8
76,7,Napittachora Waterfalls,Guliakhali Sea Beach,Karnaphuli River,Abhay Mitra Ghat,Foy's Lake,Bashbaria Sea Beach,Patenga Sea Beach,,,,Female,Yes,Family,Winter,20000.0
77,8,Karnaphuli River,,,,,,,,,,Male,Yes,Solo,Summer,18824.0
78,5,Napittachora Waterfalls,Chittagong Circuit House,Foy's Lake,Karnaphuli River,Mohamaya Lake,Bhatiari,Naval Beach,Guliakhali Sea Beach,Khoiyachora Waterfall,Chandranath Hill and Temple,Male,Yes,Couple,Autumn,19053.6
79,7,Khoiyachora Waterfall,Bashbaria Sea Beach,Abhay Mitra Ghat,Patenga Sea Beach,Foy's Lake,Bhatiari,Naval Beach,Guliakhali Sea Beach,,,Male,No,Family,Winter,8622.0
80,3,Naval Beach,Bashbaria Sea Beach,,,,,,,,,Female,Yes,Couple,Winter,7653.599999999999
81,1,Napittachora Waterfalls,Khoiyachora Waterfall,Bhatiari,Karnaphuli River,Patenga Sea Beach,Chittagong Circuit House,,,,,Male,Yes,Couple,Monsoon,13622.4
82,7,Chittagong Circuit House,Khoiyachora Waterfall,Chandranath Hill and Temple,Bashbaria Sea Beach,Napittachora Waterfalls,,,,,,Male,No,Solo,Autumn,18184.0
83,7,Naval Beach,Mohamaya Lake,,,,,,,,,Male,No,Friends,Monsoon,8411.0
84,9,Naval Beach,Mohamaya Lake,Napittachora Waterfalls,Guliakhali Sea Beach,Chittagong Circuit House,Karnaphuli River,Bhatiari,Khoiyachora Waterfall,Abhay Mitra Ghat,,Female,No,Couple,Summer,20000.0
85,7,Foy's Lake,Abhay Mitra Ghat,Chittagong Circuit House,Chandranath Hill and Temple,Bhatiari,Khoiyachora Waterfall,Karnaphuli River,Guliakhali Sea Beach,,,Female,No,Solo,Summer,12895.0
86,3,Bhatiari,Foy's Lake,Napittachora Waterfalls,,,,,,,,Male,Yes,Friends,Summer,12200.0
87,1,Chandranath Hill and Temple,Guliakhali Sea Beach,Patenga Sea Beach,Napittachora Waterfalls,Abhay Mitra Ghat,,,,,,Male,No,Solo,Summer,19038.0
88,4,Chittagong Circuit House,Guliakhali Sea Beach,Khoiyachora Waterfall,Patenga Sea Beach,Napittachora Waterfalls,Naval Beach,,,,,Female,Yes,Couple,Winter,11856.0
89,10,Bashbaria Sea Beach,Bhatiari,Chandranath Hill and Temple,Mohamaya Lake,Chittagong Circuit House,Naval Beach,Karnaphuli River,Patenga Sea Beach,Foy's Lake,Guliakhali Sea Beach,Male,Yes,Family,Monsoon,18241.5
90,8,Abhay Mitra Ghat,Chittagong Circuit House,Bashbaria Sea Beach,Guliakhali Sea Beach,Bhatiari,Karnaphuli River,Khoiyachora Waterfall,Patenga Sea Beach,,,Male,Yes,Friends,Autumn,18461.0
